Персонаж (Character),Действие (Action,Объект (Object),Локация (Location),Prompt (промпт),URL Видео (Video URL),Дата (Date),Подпись (Caption),Likes/Views,Status
Stormtrooper,Slicing,Glass Lemon,Spaceship,"A stormtrooper in a spaceship slices a glass lemon with a vibroblade. Close-up, 9:16, 8 seconds, ASMR sounds only.",,30.6.2024,Stormtrooper slices glass lemon ASMR,,ОПУБЛИКОВАН
Gorilla Chef,Breaking,Baguette,Jungle Kitchen,"A gorilla chef breaks a crunchy baguette in a jungle kitchen. Close-up, 9:16, 8 seconds, intense crunch ASMR.",,29.6.2024,Gorilla chef breaks baguette ASMR,,ОПУБЛИКОВАН
Robot,Twisting,Bubble Wrap,Futuristic Lab,"A shiny robot twists bubble wrap in a neon lab. Popping sounds, 9:16, 8 seconds, only ASMR.",,28.6.2024,Robot twists bubble wrap ASMR,,ОПУБЛИКОВАН
Cat,Ripping,Paper,Kids Room,"A fluffy cat rips colored paper in a kid’s room. Close-up, 9:16, 8 seconds, crisp tearing sound.",,27.6.2024,Cat rips paper ASMR,,ОПУБЛИКОВАН
Samurai,Cracking,Bamboo Stick,Zen Garden,"A calm samurai cracks a bamboo stick in a zen garden. Sharp crack, soft wind, 9:16, 8 seconds.",,26.6.2024,Samurai cracks bamboo ASMR,,ОПУБЛИКОВАН
Alien,Crushing,Ice Cube,Spaceship Console,"A green alien crushes an ice cube on a spaceship console. Crackling ice, close-up, 9:16, 8 seconds.",,25.6.2024,Alien crushes ice cube ASMR,,ОПУБЛИКОВАН
Teddy Bear,Squishing,Slime,Picnic Table,"A cute teddy bear squishes purple slime on a picnic table. Squelchy sounds, close-up, 9:16, 8 seconds.",,24.6.2024,Teddy bear squishes slime ASMR,,ОПУБЛИКОВАН
Mermaid,Peeling,Rainbow Seaweed Sheet,Underwater Coral Garden,"**Subject:** A luminous mermaid with iridescent, aquamarine scales and flowing, pearl-studded hair delicately holds a shimmering rainbow seaweed sheet in her graceful hands. Her features are ethereal, with large, expressive eyes and a soft, curious smile as she focuses intently on the seaweed, ready to peel it apart.

**Setting:** The scene unfolds in a vibrant underwater coral garden, bathed in filtered turquoise light. Vivid corals in pink, orange, purple, and blue form a lush backdrop, interspersed with swaying anemones and darting tropical fish. Shafts of sunlight slice down from above, scattering prismatic patterns that enhance the ethereal mood.

**Action:** With slow, precise movements, the mermaid gently pinches an edge of the rainbow seaweed sheet between her fingers. She begins to peel back a thin, translucent layer, the seaweed stretching and glimmering as it separates. The process is unhurried, revealing the delicate fibers and gleaming layers possible only underwater, as tiny air bubbles rise gently from the point of separation.

**Style:** Hyper-realistic detail highlights the glistening surface of the seaweed, the smoothness of the mermaid’s skin, and the refracted underwater light. The colors of the seaweed—magenta, emerald, gold—shift and shimmer dynamically with every subtle movement.

**Sound:** ASMR layers include a soft, satisfying peeling sound as the sticky surface of the rainbow seaweed separates, the gentle pop and crackle of bubbles, and the faint swish of the mermaid’s fingers sliding along its surface. The peeling intensifies with a wet, delicate stretch as she reaches the end, followed by a crisp snap as the layer comes free.

**Camera Motion:** The camera starts with a tight close-up on the mermaid’s hands and the seaweed sheet. It slowly pans upward to briefly reveal her serene expression, then smoothly refocuses on the peeling motion, tracking the movement of the seaweed as it is pulled away.

**Composition:** The mermaid’s hands and the colorful seaweed sheet dominate the central lower portion of the frame. Her face hovers just above, slightly out of focus at first, with swaying coral and drifting particles creating a dreamy, blurred background that enhances the tactile focus on the peel.

**Ambiance:** The ambient noise is gentle and immersive: a subtle underwater hum, light bubbling, the distant shimmer of passing fish, and an almost meditative silence between the soft ASMR sounds, making the peeling action especially soothing.

**Aspect Ratio:** 9:16",https://v3.fal.media/files/koala/lq7MzShoL10S7A0IxayKA_tmpnh7i10bf-combined.mp4,1.7.2025,Satisfying mermaid peeling rainbow seaweed ASMR,,ОПУБЛИКОВАН
Alien chef,Peeling,Glowing starfruit,Spaceship kitchen,"**Subject:** A slender, bioluminescent alien chef with iridescent teal skin and elongated, three-fingered hands gently holds a glowing starfruit. Their large, liquid-black eyes are fixed in intense concentration as they prepare to peel the exotic fruit, its radiant light reflecting off their silver culinary uniform.

**Setting:** The spaceship kitchen glows with soft, ambient blue and purple lights, metallic panels and floating equipment casting sleek reflections onto the work surface. Holographic spice jars and drifting steam tubes charm the edges, creating an otherworldly yet cozy atmosphere among high-tech counters and curved glass shelves.

**Action:** With delicate precision, the alien chef traces a scalpel-like peeler along the starfruit’s glowing ridges, each movement slow and deliberate. The peel lifts away in translucent, curling ribbons, shimmering as they spiral down to a glass dish. The chef pauses between each motion, occasionally flexing their fingers, allowing the pulsing light from the fruit to seep between their hands and illuminate their features.

**Style:** Hyper-realistic and ultra-detailed, emphasizing the luminous texture of the starfruit, the glossy, smooth skin of the alien, and polished chrome surfaces nearby. Every reflection, droplet, and ridge is crisp, with ethereal light patterns dancing across the set.

**Sound:** Gentle peeling and sliding sounds dominate—soft, wet scrapes as the blade glides along the starfruit, subtle crackling as skin separates, and delicate tap-tap noises when peels touch the dish. The faint hum of spaceship machinery provides a distant, harmonious undertone.

**Camera Motion:** The camera begins with a tight close-up on the chef’s hands and the starfruit, gliding slowly from above to an angle just off-center, capturing the peel’s movement and the alien’s fingers in sharp focus. There is a gradual zoom-in to highlight the intricate peeling process.

**Composition:** The alien’s hands frame the glowing starfruit in the vertical center, with the fruit slightly tilted to display its radiance. The countertop stretches horizontally at the lower third, background details like holographic panels fade softly around the edges, focusing all attention on the peeling action.

**Ambiance:** The spaceship kitchen is calm, lit with a gentle pulsing light from control panels. A subtle white-noise hum fills the silence between ASMR sounds, creating an immersive, futuristic kitchen environment.

**Aspect Ratio:** 9:16",https://v3.fal.media/files/penguin/yOOwtWUGNABuMEXqKTvkK_tmpyr399v2x-combined.mp4,1.7.2025,Alien chef peeling glowing starfruit ASMR,,ОПУБЛИКОВАН
Robot Cat,Peeling,Rainbow Gel Sticker,Futuristic Playground,"**Subject:** A sleek Robot Cat with silvery, chrome fur and glowing blue eyes delicately extends its articulated metal paw toward a shimmering rainbow gel sticker. Micro-motors whir softly beneath its surface as it prepares to peel the sticker from a smooth, transparent surface.

**Setting:** The scene unfolds in a futuristic playground filled with curving chrome structures, holographic slides, and illuminated glass benches. Neon lights arc overhead, casting playful prismatic patterns, while the background glows in soft gradients of electric blue and magenta.

**Action:** The Robot Cat gently pinches the edge of the rainbow gel sticker with precise, padded fingertips. Slowly and methodically, it peels up a corner, stretching the sticker to reveal glistening, iridescent colors beneath. As it pulls, the gel flexes and offers gentle resistance, creating ripples of shifting hues. The cat pauses, then peels away more of the sticker in smooth, satisfying motions, each segment releasing with a subtle snap.

**Style:** Hyper-realistic with a focus on tactile details—close-up textures of the robot’s brushed metal fur, the glossy, semi-translucent gel sticker, and reflections of rainbow light on the cat’s paws and nearby surfaces.

**Sound:** Layered ASMR sounds include the rubbery stretch and soft peel of gel separating from glass, faint clicks of servos in the cat’s paw, and the subtle snap as the sticker detaches fully. These are accompanied by a gentle, ambient hum from the playground’s futuristic electronics.

**Camera Motion:** The camera maintains a tight close-up, following the Robot Cat's paw in high detail. It slowly pans from the tip of the paw to the entire sticker, employing minimal slow zoom-ins as the peeling intensifies, emphasizing the tactile moment.

**Composition:** The Robot Cat’s paw and the sticker are centered in the lower third, with dynamic playground structures blurred behind in the upper frame. Holographic light arcs sweep gently across the background, enhancing the sci-fi ambiance without distracting from the action.

**Ambiance:** There’s a soft electronic hush in the background, accented by distant mechanical chirps and playful, echoing sounds from the rest of the playground. All other noise fades during the peeling, spotlighting the pleasing ASMR sounds.

**Aspect Ratio:** 9:16",https://v3.fal.media/files/rabbit/WtcGiedJLU028yCcvz2gH_tmpnekxk0w9-combined.mp4,,Robot cat peeling rainbow gel sticker ASMR,,НЕ ОПУБЛИКОВАН
